league,year,split,patch,side,position,golddiffat25,xpdiffat25,csdiffat25,kills,assists,deaths,opp_killsat25,opp_assistsat25,opp_deathsat25
9,2025,2,15.02,0,1,0.0,0.0,0.0,1,0,3,0.0,0.0,0.0
5,2025,5,15.02,1,3,-1007.0,515.0,4.0,1,3,5,0.0,0.0,0.0
14,2025,5,15.01,0,2,434.0,333.0,-36.0,10,17,2,0.0,0.0,0.0
9,2025,2,15.02,0,5,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0
3,2025,3,15.01,0,5,-1593.0,-2228.0,-38.0,0,4,2,0.0,0.0,0.0
0,2025,5,15.02,1,1,-4103.0,-3824.0,-62.0,1,7,11,0.0,0.0,0.0
11,2025,4,15.02,1,2,-37.0,-14.0,-15.0,7,4,3,0.0,0.0,0.0
3,2025,3,15.01,0,2,-995.0,-576.0,24.0,2,3,4,0.0,0.0,0.0
12,2025,4,15.02,1,2,-189.0,-387.0,32.0,0,0,3,0.0,0.0,0.0
4,2025,4,15.02,0,0,4262.0,1747.0,19.0,6,4,0,0.0,0.0,0.0
9,2025,2,15.02,1,2,0.0,0.0,0.0,6,2,2,0.0,0.0,0.0
12,2025,4,15.02,1,1,1682.0,1666.0,3.0,4,15,0,0.0,0.0,0.0
3,2025,3,15.01,0,2,2523.0,1337.0,44.0,3,1,2,0.0,0.0,0.0
9,2025,2,15.02,0,2,3479.0,786.0,14.0,6,4,0,0.0,0.0,0.0
10,2025,4,15.02,0,4,0.0,0.0,0.0,18,52,22,0.0,0.0,0.0
5,2025,5,15.02,1,3,-435.0,-948.0,-6.0,1,8,7,0.0,0.0,0.0
7,2025,5,15.01,1,5,-2261.0,-2088.0,-77.0,3,3,3,0.0,0.0,0.0
3,2025,3,15.01,0,5,526.0,1080.0,-11.0,1,1,0,0.0,0.0,0.0
4,2025,4,15.01,1,3,-425.0,-695.0,7.0,0,13,2,0.0,0.0,0.0
1,2025,6,15.02,0,2,-567.0,1.0,-42.0,3,10,1,0.0,0.0,0.0
2,2025,0,15.01,0,5,1999.0,791.0,23.0,2,7,4,0.0,0.0,0.0
9,2025,2,15.02,1,0,-865.0,-2356.0,-21.0,6,3,4,0.0,0.0,0.0
15,2025,5,15.02,1,4,-4046.0,-2438.0,-39.0,7,17,20,0.0,0.0,0.0
3,2025,3,15.01,0,4,-1503.0,-32.0,-15.0,20,53,13,0.0,0.0,0.0
10,2025,4,15.02,0,1,0.0,0.0,0.0,8,9,0,0.0,0.0,0.0
11,2025,4,15.02,1,0,2403.0,2322.0,6.0,10,7,1,0.0,0.0,0.0
17,2025,5,15.02,1,2,-1402.0,-41.0,-13.0,3,10,3,0.0,0.0,0.0
16,2025,5,15.02,0,0,-2718.0,-543.0,9.0,1,2,1,0.0,0.0,0.0
2,2025,0,15.01,0,2,2502.0,1438.0,43.0,6,13,1,0.0,0.0,0.0
13,2025,5,15.02,1,4,1560.0,4024.0,10.0,20,50,11,0.0,0.0,0.0
9,2025,2,15.02,1,4,-2128.0,-3977.0,3.0,34,85,23,0.0,0.0,0.0
10,2025,4,15.01,0,2,0.0,0.0,0.0,1,2,3,0.0,0.0,0.0
14,2025,5,15.01,0,3,-1317.0,-1747.0,-13.0,0,7,7,0.0,0.0,0.0
4,2025,4,15.02,1,4,2052.0,1154.0,10.0,23,66,13,0.0,0.0,0.0
